,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
146,Peru,5.3,94.2,1.27,19.7,74.2,1.6,-2.1,24.0,0.022323595069397264,0.27846258371348154,13500.0,6.9
147,Philippines,4.4,96.3,1.28,6.4,69.6,1.0,-1.9,353.0,0.06413938349607505,0.056480949645797425,8400.0,5.7
148,Poland,6.3,99.8,2.4,23.1,77.9,6.5,-0.4,123.0,0.03651763399055818,0.08580949736184393,29600.0,4.9
149,Portugal,9.0,95.7,3.34,20.8,80.9,3.4,-0.2,112.0,0.03249656121045392,0.019887666208161396,30500.0,8.9
150,Qatar,3.1,97.3,2.78,35.1,79.0,1.2,11.5,204.0,0.002042007001166861,0.1088098016336056,124100.0,8.9
151,Romania,5.0,98.8,2.26,22.5,75.6,6.3,-0.2,90.0,0.0510248582642826,0.15278383485971794,24600.0,4.9
152,Russia,5.6,99.7,4.01,23.1,71.3,8.2,1.7,8.0,0.008056108425741636,0.08027675101886078,27900.0,5.2
153,Rwanda,7.9,70.5,0.13,5.8,64.5,,-0.5,463.0,0.0,0.3656716417910448,2100.0,2.7
154,S. Korea,7.4,,2.37,4.7,82.5,11.5,2.4,516.0,0.0212444528373147,0.7191011235955056,39500.0,3.7
155,Saint Kitts and Nevis,5.6,,2.52,22.9,76.2,4.8,1.2,203.0,0.0,0.0,28200.0,4.5
156,Saint Lucia,6.0,,0.11,19.7,78.1,1.3,-2.2,269.0,0.0,0.7333333333333333,14400.0,20.0
157,Saint Martin,,,,,,,-5.6,593.0,0.0625,0.34375,19300.0,0.0
158,San Marino,6.8,,6.15,,83.4,3.8,7.2,554.0,0.0967741935483871,0.1424731182795699,59000.0,8.1
159,Saudi Arabia,5.8,94.7,2.39,35.4,75.7,2.7,4.1,15.0,0.013596572918606815,0.16558018252933507,54500.0,6.0
160,Senegal,4.0,51.9,0.07,8.8,62.5,,-1.4,76.0,0.006688963210702341,0.6120401337792643,3500.0,48.0
161,Serbia,9.4,98.8,3.13,21.5,75.9,5.7,0.0,91.0,0.021052631578947368,0.08958566629339305,15100.0,14.1
162,Seychelles,3.4,91.8,0.95,14.0,75.2,3.6,1.0,208.0,0.0,0.0,29300.0,3.0
163,Singapore,4.3,97.0,2.31,6.1,85.5,2.4,12.7,8337.0,0.003075030750307503,0.18788437884378845,94100.0,2.2
164,Sint Maarten,,,,,,,,,0.17307692307692307,0.09615384615384616,0.0,0.0
165,Slovakia,6.9,,2.46,20.5,77.4,5.8,0.1,111.0,0.0023952095808383233,0.13532934131736524,33100.0,8.1
166,Slovenia,8.5,99.7,2.81,20.2,81.2,4.6,1.0,104.0,0.045901639344262286,0.12459016393442625,34500.0,6.6
167,Somalia,,,0.02,8.3,53.2,8.7,-5.6,18.0,0.03333333333333333,0.03333333333333333,0.0,0.0
168,South Africa,8.2,94.4,0.91,28.3,64.1,,-0.9,45.0,0.011180124223602485,0.16977225672877844,13600.0,27.5
169,Spain,9.2,98.3,4.07,23.8,81.8,3.0,7.5,98.0,0.10487762840399864,0.3878202918533839,38400.0,17.2
170,Sri Lanka,3.0,91.9,0.96,5.2,77.1,3.6,-1.3,344.0,0.030042918454935626,0.2618025751072961,12900.0,4.4
171,St. Barth,,,,,,,,,0.0,0.6666666666666666,0.0,0.0
172,St. Vincent Grenadines,4.2,,0.66,23.7,75.8,,,,0.0,0.08333333333333333,11500.0,18.8
173,Sudan,6.3,75.9,0.41,6.6,65.8,0.8,1.9,23.0,0.15625,0.125,4300.0,19.6
174,Suriname,6.5,95.6,1.23,26.4,72.8,3.1,0.5,4.0,0.1,0.6,14900.0,8.9
175,Sweden,11.0,,5.4,20.6,82.2,2.4,5.3,22.0,0.09025775447793796,0.03328964613368283,51200.0,6.7
176,Switzerland,12.1,,4.24,19.5,82.7,4.7,4.6,201.0,0.0452652683528686,0.5282233189389266,62100.0,3.2
177,Syria,,86.4,1.22,27.8,75.2,1.5,57.0,104.0,0.06896551724137931,0.1724137931034483,2900.0,50.0
178,Taiwan,,98.5,,,80.4,,0.9,654.0,0.015267175572519085,0.3155216284987277,50500.0,3.8
179,Tanzania,6.1,77.9,0.04,8.4,63.1,0.7,-0.5,59.0,0.05660377358490566,0.1320754716981132,3200.0,10.3
180,Thailand,3.8,92.9,0.81,10.0,75.1,2.1,0.0,134.0,0.01569077688480674,0.53769613471106,17900.0,0.7
181,Timor-Leste,,,,3.8,68.7,,,,0.0,0.16666666666666666,0.0,0.0
182,Togo,6.6,63.7,0.05,8.4,65.8,0.7,0.0,144.0,0.03896103896103896,0.4155844155844156,1700.0,6.9
183,Trinidad and Tobago,6.0,99.0,2.67,18.6,73.4,3.0,-5.8,237.0,0.07079646017699115,0.1504424778761062,31300.0,4.9
184,Tunisia,6.7,81.8,1.27,26.9,75.9,2.2,-1.6,70.0,0.04551539491298527,0.05756358768406961,11900.0,15.5
185,Turkey,4.1,96.2,1.76,32.1,75.3,2.7,-4.5,104.0,0.021547818340986933,0.07370490393328316,27000.0,10.9
186,Turks and Caicos,,,,,,,,,0.1,0.0,0.0,0.0
187,UAE,3.5,93.8,2.39,31.7,78.7,,,,0.005676059193188729,0.1891344009730387,68600.0,1.6
188,UK,9.9,,2.81,27.8,80.9,2.8,2.5,267.0,0.12897212190938825,0.0,44300.0,4.4
189,USA,,,2.59,36.2,80.1,2.9,3.8,33.0,0.04243328225728973,0.0632127102815913,59800.0,4.4
190,Uganda,7.3,78.4,0.09,5.3,56.3,0.5,-0.7,169.0,0.0,0.14545454545454545,2400.0,9.4
191,Ukraine,6.1,99.8,3.01,24.1,72.4,8.8,4.6,73.0,0.029062870699881376,0.03529062870699881,8800.0,9.2
192,Uruguay,9.2,98.6,5.05,27.9,77.6,2.8,-0.9,19.0,0.016260162601626018,0.5284552845528455,22400.0,7.6
193,Uzbekistan,6.2,100.0,2.37,16.6,74.3,4.0,-2.1,67.0,0.0034334763948497852,0.08497854077253217,6900.0,5.0
194,Vatican City,,,,,,,,,0.0,0.25,0.0,0.0
195,Venezuela,3.2,97.1,,25.6,76.2,0.8,-1.2,35.0,0.046632124352331605,0.5751295336787565,12500.0,27.1
196,Vietnam,5.7,94.5,0.82,2.1,73.9,2.6,-0.3,293.0,0.0,0.6329588014981273,6900.0,2.2
197,Zambia,5.4,63.4,0.09,8.1,53.0,2.0,0.0,22.0,0.04444444444444445,0.6666666666666666,4000.0,15.0
198,Zimbabwe,10.3,86.5,0.08,15.5,61.1,1.7,-7.3,36.0,0.16666666666666666,0.05555555555555555,2300.0,11.3
